Region	Location	Date	Year	Month	Day	Week	Indiv	Height_cm	NumLeaves	NumInfl.	Pods_num	NumAphidsPods	Top	Middle	Bottom	NumCaterpillars	AvgAphidsPerLeaf	Total_aphids_leaves
Eastern	1	7/7/2019	2019	7	7	5	1	28	9	0	0	0	0	0	0	0	0	0
Eastern	1	7/7/2019	2019	7	7	5	2	96	27	0	0	0	0	0	0	0	0	0
Eastern	1	7/7/2019	2019	7	7	5	3	104	26	3	0	0	0	1	0	0	0.333333333	1
Eastern	1	7/7/2019	2019	7	7	5	4	94	29	0	0	0	0	0	0	0	0	0
Eastern	1	7/7/2019	2019	7	7	5	5	68	23	0	0	0	0	0	0	0	0	0
Eastern	1	7/7/2019	2019	7	7	5	6	46	21	0	0	0	0	0	0	0	0	0
Eastern	1	7/7/2019	2019	7	7	5	7	126	24	0	0	0	0	0	0	0	0	0
Eastern	1	7/7/2019	2019	7	7	5	8	93	17	0	0	0	0	0	0	0	0	0
Eastern	1	7/7/2019	2019	7	7	5	11	77	28	0	0	0	0	0	0	0	0	0
Eastern	1	7/7/2019	2019	7	7	5	10	57	21	0	0	0	0	0	0	0	0	0
Eastern	2	7/7/2019	2019	7	7	5	1	34	8	0	0	0	0	0	0	0	0	0
Eastern	2	7/7/2019	2019	7	7	5	2	84	21	1	0	0	0	0	0	0	0	0
Eastern	2	7/7/2019	2019	7	7	5	3	67	28	0	0	0	0	0	0	0	0	0
Eastern	2	7/7/2019	2019	7	7	5	4	63	32	0	0	0	0	0	0	0	0	0
Eastern	2	7/7/2019	2019	7	7	5	5	61	15	0	0	0	0	0	0	0	0	0
Eastern	2	7/7/2019	2019	7	7	5	6	9	3	0	0	0	0	0	0	0	0	0
Eastern	2	7/7/2019	2019	7	7	5	7	43	22	0	0	0	0	0	0	0	0	0
Eastern	2	7/7/2019	2019	7	7	5	12	13	11	0	0	0	0	0	0	1	0	0
Eastern	2	7/7/2019	2019	7	7	5	9	99	19	0	0	0	0	0	0	0	0	0
Eastern	2	7/7/2019	2019	7	7	5	10	44	15	0	0	0	0	0	0	0	0	0
Eastern	3	7/7/2019	2019	7	7	5	1	86	36	4	0	0	4	22	0	0	8.666666667	26
Eastern	3	7/7/2019	2019	7	7	5	2	103	26	2	0	0	0	0	0	0	0	0
Eastern	3	7/7/2019	2019	7	7	5	3	53	18	0	0	0	0	0	0	0	0	0
Eastern	3	7/7/2019	2019	7	7	5	4	62	21	0	0	0	0	0	0	0	0	0
Eastern	3	7/7/2019	2019	7	7	5	5	93	18	3	0	0	0	0	0	0	0	0
Eastern	3	7/7/2019	2019	7	7	5	6	61	18	0	0	0	0	0	0	0	0	0
Eastern	3	7/7/2019	2019	7	7	5	12	33	16	0	0	0	1	0	0	0	0.333333333	1
Eastern	3	7/7/2019	2019	7	7	5	8	43	26	0	0	0	0	0	0	0	0	0
Eastern	3	7/7/2019	2019	7	7	5	11	15	3	0	0	0	0	0	0	0	0	0
Eastern	3	7/7/2019	2019	7	7	5	10	34	27	0	0	0	0	0	0	0	0	0
Eastern	4	7/7/2019	2019	7	7	5	1	59	22	0	0	0	0	0	0	1	0	0
Eastern	4	7/7/2019	2019	7	7	5	2	24	10	0	0	0	0	0	0	0	0	0
Eastern	4	7/7/2019	2019	7	7	5	3	82	27	0	0	0	0	0	0	0	0	0
Eastern	4	7/7/2019	2019	7	7	5	4	80	26	0	0	0	0	1	0	0	0.333333333	1
Eastern	4	7/7/2019	2019	7	7	5	11	60	16	0	0	0	2	3	0	0	1.666666667	5
Eastern	4	7/7/2019	2019	7	7	5	6	63	11	0	0	0	0	0	0	0	0	0
Eastern	4	7/7/2019	2019	7	7	5	7	98	36	2	0	0	0	0	0	0	0	0
Eastern	4	7/7/2019	2019	7	7	5	8	111	36	5	0	0	0	0	1	0	0.333333333	1
Eastern	4	7/7/2019	2019	7	7	5	9	59	24	0	0	0	0	0	0	0	0	0
Eastern	4	7/7/2019	2019	7	7	5	10	77	18	0	0	0	0	0	0	0	0	0
Eastern	5	7/7/2019	2019	7	7	5	1	92	28	4	0	0	0	0	0	3	0	0
Eastern	5	7/7/2019	2019	7	7	5	2	66	30	0	0	0	0	0	0	1	0	0
Eastern	5	7/7/2019	2019	7	7	5	3	72	19	0	0	0	0	0	0	0	0	0
Eastern	5	7/7/2019	2019	7	7	5	4	49	30	3	0	0	0	0	0	0	0	0
Eastern	5	7/7/2019	2019	7	7	5	5	49	24	0	0	0	0	13	12	0	8.333333333	25
Eastern	5	7/7/2019	2019	7	7	5	6	92	28	0	0	0	0	0	0	1	0	0
Eastern	5	7/7/2019	2019	7	7	5	7	74	24	0	0	0	0	0	0	0	0	0
Eastern	5	7/7/2019	2019	7	7	5	8	59	20	0	0	0	0	1	0	0	0.333333333	1
Eastern	5	7/7/2019	2019	7	7	5	9	41	26	0	0	0	0	0	0	0	0	0
Eastern	5	7/7/2019	2019	7	7	5	10	73	35	1	0	0	0	1	0	0	0.333333333	1
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	1	75	21	0	0	2	1	1	0	0	0.666666667	2
