Region	Location	Date	Year	Month	Day	Week	Indiv	Height_cm	NumLeaves	NumInfl.	Pods_num	NumAphidsPods	Top	Middle	Bottom	NumCaterpillars	AvgAphidsPerLeaf	Total_aphids_leaves
Eastern	1	7/7/2019	2019	7	7	5	3	104	26	3	0	0	0	1	0	0	0.333333333	1
Eastern	3	7/7/2019	2019	7	7	5	12	33	16	0	0	0	1	0	0	0	0.333333333	1
Eastern	4	7/7/2019	2019	7	7	5	4	80	26	0	0	0	0	1	0	0	0.333333333	1
Eastern	4	7/7/2019	2019	7	7	5	8	111	36	5	0	0	0	0	1	0	0.333333333	1
Eastern	5	7/7/2019	2019	7	7	5	8	59	20	0	0	0	0	1	0	0	0.333333333	1
Eastern	5	7/7/2019	2019	7	7	5	10	73	35	1	0	0	0	1	0	0	0.333333333	1
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	5	93	19	0	0	1	0	1	0	0	0.333333333	1
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	7	110	25	5	0	0	1	0	0	0	0.333333333	1
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	8	110	25	0	0	0	1	0	0	0	0.333333333	1
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	9	105	28	0	0	0	0	1	0	0	0.333333333	1
Eastern	Forevergreen_	7/1/2019	2019	7	1	5	2	110	18	5	0	1	0	1	0	0	0.333333333	1
Eastern	Forevergreen_	7/1/2019	2019	7	1	5	5	101	22	4	0	1	1	0	0	0	0.333333333	1
Eastern	4	7/14/2019	2019	7	14	6	1	62	22	0	0	0	0	1	0	0	0.333333333	1
Eastern	5	7/14/2019	2019	7	14	6	3	81	20	0	0	0	1	0	0	0	0.333333333	1
Eastern	5	7/14/2019	2019	7	14	6	7	79	23	0	0	0	1	0	0	0	0.333333333	1
Eastern	5	7/14/2019	2019	7	14	6	8	61	20	0	0	0	0	1	0	0	0.333333333	1
Eastern	Forevergreen_	7/10/2019	2019	7	10	6	7	128	19	0	0	0	1	0	0	0	0.333333333	1
Eastern	1	7/21/2019	2019	7	21	7	12	84	23	0	0	0	0	1	0	0	0.333333333	1
Eastern	5	7/21/2019	2019	7	21	7	7	86	26	0	0	0	0	1	0	0	0.333333333	1
Eastern	6	7/16/2019	2019	7	16	7	4	70	21	0	0	0	0	0	1	0	0.333333333	1
Eastern	Cherry_Valley_A	7/15/2019	2019	7	15	7	1	95	27	0	0	0	0	0	1	0	0.333333333	1
Eastern	Cherry_Valley_A	7/15/2019	2019	7	15	7	5	99	21	0	0	0	0	1	0	0	0.333333333	1
Eastern	Cherry_Valley_A	7/15/2019	2019	7	15	7	6	129	40	0	11	0	0	0	1	0	0.333333333	1
Eastern	Cherry_Valley_A	7/15/2019	2019	7	15	7	8	114	32	0	0	0	1	0	0	0	0.333333333	1
Eastern	Forevergreen_	7/15/2019	2019	7	15	7	2	111	17	0	4	0	0	0	1	0	0.333333333	1
Eastern	Forevergreen_	7/15/2019	2019	7	15	7	3	112	12	0	4	0	0	0	1	0	0.333333333	1
Eastern	Forevergreen_	7/15/2019	2019	7	15	7	4	109	18	0	2	0	0	1	0	0	0.333333333	1
Eastern	Forevergreen_	7/15/2019	2019	7	15	7	7	124	17	0	8	0	0	0	1	0	0.333333333	1
Eastern	4	7/30/2019	2019	7	30	8	1	66	19	0	0	0	0	1	0	0	0.333333333	1
Eastern	Forevergreen_	7/29/2019	2019	7	29	8	5	101	19	0	1	0	0	1	0	0	0.333333333	1
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	1	75	21	0	0	2	1	1	0	0	0.666666667	2
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	10	123	30	4	0	2	0	1	1	0	0.666666667	2
Eastern	Forevergreen_	7/1/2019	2019	7	1	5	7	123	19	5	0	2	0	1	1	0	0.666666667	2
Eastern	6	7/8/2019	2019	7	8	6	5	41	23	0	0	0	0	0	2	0	0.666666667	2
Eastern	3	7/16/2019	2019	7	16	7	10	35	25	0	0	0	0	2	0	0	0.666666667	2
Eastern	3	7/21/2019	2019	7	21	7	7	46	14	0	0	0	0	0	2	0	0.666666667	2
Eastern	6	7/16/2019	2019	7	16	7	2	54	22	0	0	0	0	0	2	0	0.666666667	2
Eastern	6	7/21/2019	2019	7	21	7	5	42	25	0	0	0	0	2	0	0	0.666666667	2
Eastern	Cherry_Valley_A	7/15/2019	2019	7	15	7	2	116	28	0	0	0	1	1	0	0	0.666666667	2
Eastern	Cherry_Valley_A	7/15/2019	2019	7	15	7	4	118	30	0	0	0	0	0	2	0	0.666666667	2
Eastern	Forevergreen_	7/15/2019	2019	7	15	7	10	109	23	0	2	0	0	0	2	0	0.666666667	2
Eastern	Cherry_Valley_A	7/25/2019	2019	7	25	8	4	100	21	0	0	0	0	2	0	0	0.666666667	2
Eastern	Cherry_Valley_A	7/29/2019	2019	7	29	8	4	97	33	0	0	0	0	0	2	0	0.666666667	2
Eastern	Forevergreen_	7/25/2019	2019	7	25	8	1	113	17	0	6	0	2	0	0	0	0.666666667	2
Eastern	Forevergreen_	7/25/2019	2019	7	25	8	4	109	18	0	3	0	0	1	1	0	0.666666667	2
Eastern	Forevergreen_	7/25/2019	2019	7	25	8	9	113	16	0	0	0	1	0	1	0	0.666666667	2
Eastern	Forevergreen_	7/29/2019	2019	7	29	8	6	111	23	0	3	0	0	2	0	0	0.666666667	2
Eastern	Forevergreen_	7/29/2019	2019	7	29	8	7	127	16	0	4	0	0	0	2	0	0.666666667	2
Eastern	Forevergreen_	7/29/2019	2019	7	29	8	8	116	19	0	3	0	0	0	2	0	0.666666667	2
Eastern	Forevergreen_	7/29/2019	2019	7	29	8	9	114	16	0	0	0	0	0	2	0	0.666666667	2
Eastern	Forevergreen_	7/1/2019	2019	7	1	5	10	106	24	3	0	3	0	3	0	0	1	3
Eastern	5	7/14/2019	2019	7	14	6	6	101	27	0	0	0	0	0	3	0	1	3
Eastern	5	7/14/2019	2019	7	14	6	9	49	27	0	0	0	0	1	2	0	1	3
Eastern	Forevergreen_	7/10/2019	2019	7	10	6	3	111	13	1	0	0	1	1	1	0	1	3
Eastern	1	7/21/2019	2019	7	21	7	3	112	34	0	5	0	0	3	0	0	1	3
Eastern	Cherry_Valley_A	7/15/2019	2019	7	15	7	3	143	44	0	0	0	0	2	1	0	1	3
Eastern	Cherry_Valley_A	7/29/2019	2019	7	29	8	1	120	52	0	0	0	0	2	1	1	1	3
Eastern	Forevergreen_	7/29/2019	2019	7	29	8	10	114	20	0	2	0	2	0	1	1	1	3
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	4	106	26	0	0	4	1	0	3	0	1.333333333	4
Eastern	Cherry_Valley_B	7/1/2019	2019	7	1	5	6	115	20	4	0	4	0	3	1	0	1.333333333	4
Eastern	Forevergreen_	7/10/2019	2019	7	10	6	8	111	20	2	0	0	0	2	2	0	1.333333333	4
Eastern	3	7/21/2019	2019	7	21	7	2	110	36	0	0	0	0	1	3	0	1.333333333	4
Eastern	5	7/21/2019	2019	7	21	7	2	72	31	0	0	0	0	3	1	0	1.333333333	4
Eastern	5	7/21/2019	2019	7	21	7	4	70	26	0	2	0	0	2	2	0	1.333333333	4
Eastern	Cherry_Valley_A	7/15/2019	2019	7	15	7	7	111	27	0	5	0	0	3	1	0	1.333333333	4
Eastern	Cherry_Valley_A	7/25/2019	2019	7	25	8	2	113	39	0	0	0	1	3	0	0	1.333333333	4
Eastern	Cherry_Valley_A	7/25/2019	2019	7	25	8	7	110	27	0	5	0	0	2	2	0	1.333333333	4
Eastern	Cherry_Valley_A	7/29/2019	2019	7	29	8	7	109	26	0	4	0	0	2	2	0	1.333333333	4
Eastern	Cherry_Valley_A	7/29/2019	2019	7	29	8	8	115	39	0	0	0	0	0	4	0	1.333333333	4
Eastern	Cherry_Valley_A	7/29/2019	2019	7	29	8	9	126	45	0	0	0	0	0	4	2	1.333333333	4
Eastern	Forevergreen_	7/25/2019	2019	7	25	8	2	112	14	0	4	0	3	0	1	0	1.333333333	4
Eastern	Forevergreen_	7/25/2019	2019	7	25	8	7	130	16	0	4	0	2	1	1	0	1.333333333	4
Eastern	4	7/7/2019	2019	7	7	5	11	60	16	0	0	0	2	3	0	0	1.666666667	5
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	3	120	25	0	0	5	2	2	1	0	1.666666667	5
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	6	125	36	3	0	0	0	3	2	0	1.666666667	5
Eastern	3	7/16/2019	2019	7	16	7	7	47	16	0	0	0	0	4	1	1	1.666666667	5
Eastern	Cherry_Valley_A	7/25/2019	2019	7	25	8	5	123	47	0	0	0	0	5	0	0	1.666666667	5
Eastern	Cherry_Valley_A	7/29/2019	2019	7	29	8	3	152	58	0	0	0	4	0	1	4	1.666666667	5
Eastern	Forevergreen_	7/25/2019	2019	7	25	8	5	101	20	0	2	0	2	1	2	0	1.666666667	5
Eastern	Forevergreen_	7/25/2019	2019	7	25	8	8	112	20	0	3	0	2	3	0	0	1.666666667	5
Eastern	Cherry_Valley_B	7/1/2019	2019	7	1	5	4	105	20	2	0	6	1	1	4	0	2	6
Eastern	Forevergreen_	7/1/2019	2019	7	1	5	4	109	21	4	0	6	3	1	2	0	2	6
Eastern	Forevergreen_	7/1/2019	2019	7	1	5	6	106	24	4	0	6	1	5	0	0	2	6
Eastern	Forevergreen_	7/10/2019	2019	7	10	6	5	101	20	0	0	0	4	2	0	0	2	6
Eastern	1	7/21/2019	2019	7	21	7	8	92	17	0	1	0	0	6	0	0	2	6
Eastern	5	7/21/2019	2019	7	21	7	9	52	27	0	0	0	2	4	0	0	2	6
Eastern	Forevergreen_	7/15/2019	2019	7	15	7	1	112	17	0	8	0	4	2	0	0	2	6
Eastern	Cherry_Valley_A	7/25/2019	2019	7	25	8	1	97	32	0	0	0	0	3	3	0	2	6
Eastern	Cherry_Valley_A	7/25/2019	2019	7	25	8	8	115	38	0	0	0	0	4	2	0	2	6
Eastern	Forevergreen_	7/25/2019	2019	7	25	8	3	114	7	0	3	0	4	0	2	0	2	6
Eastern	Forevergreen_	7/10/2019	2019	7	10	6	2	110	18	0	0	0	7	0	0	0	2.333333333	7
Eastern	4	7/21/2019	2019	7	21	7	12	66	3	0	0	0	3	0	4	0	2.333333333	7
Eastern	Cherry_Valley_A	7/25/2019	2019	7	25	8	6	129	38	0	10	0	1	4	2	0	2.333333333	7
Eastern	Cherry_Valley_A	7/25/2019	2019	7	25	8	10	136	27	0	9	0	2	3	2	0	2.333333333	7
Eastern	Cherry_Valley_A	7/29/2019	2019	7	29	8	2	119	41	0	0	0	0	1	6	0	2.333333333	7
Eastern	Cherry_Valley_A	7/1/2019	2019	7	1	5	2	104	22	0	0	8	1	5	2	0	2.666666667	8
Eastern	1	7/14/2019	2019	7	14	6	2	95	28	0	0	0	0	1	7	0	2.666666667	8
