Plant	Location	Aphids	Pod_num_start	Pod_num_end	Pod_loss	Aphid_num_end	Height
1	SCI	Y	10	9	1	1000	123
2	SCI	N	2	2	0	0	114
3	SCI	N	4	3	1	0	94
4	SCI	N	2	2	0	100	88
5	SCI	Y	4	4	0	0	87
6	SCI	N	14	11	3	1000	143
7	SCI	N	4	3	1	200	89
8	SCI	N	3	3	0	200	90
9	SCI	N	5	2	3	1	85
10	SCI	Y	3	3	0	120	80
11	SCI	Y	8	6	2	100	94
12	SCI	N	5	5	0	150	116
13	SCI	Y	6	4	2	150	115
14	SCI	N	3	3	0	75	112
15	SCI	N	3	3	0	65	89
16	SCI	N	5	5	0	150	110
17	SCI	Y	4	3	1	150	100
18	SCI	Y	2	1	1	10	93
19	SCI	Y	8	9	-1	10	127
20	SCI	N	16	7	9	100	142
21	SCI	Y	9	12	-3	500	90
22	SCI	N	7	6	1	50	130
23	SCI	Y	6	2	4	0	115
24	SCI	Y	1	1	0	15	140
25	SCI	Y	5	5	0	0	100
26	SCI	Y	3	3	0	0	124
27	SCI	N	3	2	1	0	98
28	SCI	Y	4	4	0	0	115
29	SCI	Y	4	4	0	0	115
30	SCI	N	4	5	-1	0	92
31	WNC	Y	11	7	4	0	113
32	WNC	Y	4	1	3	0	78
33	WNC	N	3	2	1	0	103
34	WNC	N	5	3	2	0	99
35	WNC	Y	9	5	4	0	98
36	WNC	N	4	2	2	0	101
37	WNC	N	3	2	1	0	99
38	WNC	N	5	4	1	0	99
39	WNC	N	5	4	1	0	87
40	WNC	Y	8	2	6	0	103
41	WNC	N	3	3	0	0	97
42	WNC	N	7	5	2	0	110
43	WNC	N	5	3	2	0	96
44	WNC	N	6	3	3	0	95
45	WNC	Y	7	4	3	0	103
46	WNC	Y	7	1	6	0	88
47	WNC	N	6	4	2	0	92
48	WNC	N	4	3	1	0	82
49	WNC	N	3	3	0	0	90
50	WNC	N	6	4	2	0	89
51	WNC	Y	5	3	2	500	88
52	WNC	Y	4	4	0	0	87
53	WNC	Y	6	4	2	0	118
54	WNC	Y	4	3	1	110	84
55	WNC	Y	4	2	2	0	73
56	WNC	Y	6	1	5	0	78
57	WNC	Y	7	3	4	57	92
58	WNC	N	3	2	1	0	88
59	WNC	Y	9	4	5	15	117
60	WNC	Y	11	5	6	500	110
							
							
