Region	State	Location	Year	Month	Indiv	Height_cm	NumLeaves	NumInfl.	Pods_num	NumAphidsPods	Top	Middle	Bottom	NumCaterpillars	AvgAphidsPerLeaf	Total_aphids_leaves	Aphids_plant
East	PA	5	2019	7	3	97	26	0	2	1	0	0	0	0	0	0	2
East	PA	Forevergreen_	2019	7	3	112	12	0	4	0	0	0	1	0	0.333333333	1	4
Midwest	MI	18	2018	9	4	123.3	13	0	5	0	0	0	1	0	0.333333333	1	4.333333333
East	PA	6	2019	6	4	30	14	0	0	0	0	1	0	0	0.333333333	1	4.666666667
East	PA	3	2019	6	4	35	14	0	0	0	1	0	0	0	0.333333333	1	4.666666667
East	PA	5	2019	6	5	32	14	0	0	0	1	0	0	0	0.333333333	1	4.666666667
East	PA	3	2019	6	4	42	14	0	0	0	1	0	0	0	0.333333333	1	4.666666667
East	PA	5	2019	6	7	53	14	0	0	0	1	0	0	0	0.333333333	1	4.666666667
East	PA	3	2019	6	5	46	16	2	0	0	1	0	0	0	0.333333333	1	5.333333333
East	PA	3	2019	6	5	75	16	4	0	0	0	1	0	0	0.333333333	1	5.333333333
East	PA	Forevergreen_	2019	6	3	111	16	5	0	1	0	0	1	0	0.333333333	1	5.333333333
East	PA	5	2019	6	5	41	16	0	0	0	1	0	0	0	0.333333333	1	5.333333333
East	PA	3	2019	7	12	33	16	0	0	0	1	0	0	0	0.333333333	1	5.333333333
East	PA	Forevergreen_	2019	7	2	111	17	0	4	0	0	0	1	0	0.333333333	1	5.666666667
East	PA	Forevergreen_	2019	7	7	124	17	0	8	0	0	0	1	0	0.333333333	1	5.666666667
East	PA	3	2019	6	10	42	18	0	0	0	1	0	0	0	0.333333333	1	6
East	PA	3	2019	6	5	91	18	3	0	0	0	1	0	0	0.333333333	1	6
East	PA	Forevergreen_	2019	7	2	110	18	5	0	1	0	1	0	0	0.333333333	1	6
East	PA	Forevergreen_	2019	7	4	109	18	0	2	0	0	1	0	0	0.333333333	1	6
Midwest	MI	24	2020	9	1	87	6	0	2	1	2	0	0	0	0.666666667	2	6
East	PA	1	2019	6	4	68	19	0	0	0	1	0	0	0	0.333333333	1	6.333333333
East	PA	Cherry_Valley_A	2019	7	5	93	19	0	0	1	0	1	0	0	0.333333333	1	6.333333333
East	PA	Forevergreen_	2019	7	7	128	19	0	0	0	1	0	0	0	0.333333333	1	6.333333333
East	PA	Forevergreen_	2019	7	5	101	19	0	1	0	0	1	0	0	0.333333333	1	6.333333333
East	PA	4	2019	7	1	66	19	0	0	0	0	1	0	0	0.333333333	1	6.333333333
East	PA	3	2019	6	1	35	20	0	0	0	0	1	0	0	0.333333333	1	6.666666667
East	PA	3	2019	6	6	58	20	3	0	0	1	0	0	0	0.333333333	1	6.666666667
East	PA	5	2019	6	10	47	20	0	0	0	1	0	0	0	0.333333333	1	6.666666667
East	PA	1	2019	6	8	90	20	2	0	0	1	0	0	0	0.333333333	1	6.666666667
East	PA	Cherry_Valley_A	2019	6	5	94	20	0	0	1	0	0	1	0	0.333333333	1	6.666666667
East	PA	5	2019	6	9	31	20	0	0	0	0	1	0	0	0.333333333	1	6.666666667
East	PA	5	2019	7	8	59	20	0	0	0	0	1	0	0	0.333333333	1	6.666666667
East	PA	5	2019	7	3	81	20	0	0	0	1	0	0	0	0.333333333	1	6.666666667
East	PA	5	2019	7	8	61	20	0	0	0	0	1	0	0	0.333333333	1	6.666666667
East	PA	Cherry_Valley_A	2019	7	5	99	21	0	0	0	0	1	0	0	0.333333333	1	7
East	PA	6	2019	7	4	70	21	0	0	0	0	0	1	0	0.333333333	1	7
East	PA	4	2019	7	12	66	3	0	0	0	3	0	4	0	2.333333333	7	7
Midwest	MI	15	2018	9	8	112.1	23	0	7	1	0	0	0	0	0	0	7
Midwest	MI	16	2018	9	6	96.1	21	0	0	0	0	0	1	1	0.333333333	1	7
East	PA	5	2019	6	4	36	22	0	0	0	1	0	0	0	0.333333333	1	7.333333333
East	PA	Forevergreen_	2019	6	6	92	22	4	0	1	0	1	0	0	0.333333333	1	7.333333333
East	PA	Cherry_Valley_A	2019	6	9	91	22	0	0	1	0	1	0	0	0.333333333	1	7.333333333
East	PA	Forevergreen_	2019	7	5	101	22	4	0	1	1	0	0	0	0.333333333	1	7.333333333
East	PA	4	2019	7	1	62	22	0	0	0	0	1	0	0	0.333333333	1	7.333333333
East	PA	5	2019	7	7	79	23	0	0	0	1	0	0	0	0.333333333	1	7.666666667
East	PA	1	2019	7	12	84	23	0	0	0	0	1	0	0	0.333333333	1	7.666666667
East	PA	3	2019	6	8	31	24	0	0	0	0	1	0	0	0.333333333	1	8
East	PA	Cherry_Valley_A	2019	6	4	102	24	0	0	1	1	0	0	0	0.333333333	1	8
East	PA	Cherry_Valley_A	2019	7	7	110	25	5	0	0	1	0	0	0	0.333333333	1	8.333333333
East	PA	Cherry_Valley_A	2019	7	8	110	25	0	0	0	1	0	0	0	0.333333333	1	8.333333333
East	PA	3	2019	6	1	47	26	1	0	0	1	0	0	0	0.333333333	1	8.666666667
East	PA	1	2019	7	3	104	26	3	0	0	0	1	0	0	0.333333333	1	8.666666667
East	PA	4	2019	7	4	80	26	0	0	0	0	1	0	0	0.333333333	1	8.666666667
East	PA	5	2019	7	7	86	26	0	0	0	0	1	0	0	0.333333333	1	8.666666667
Midwest	MI	15	2018	9	10	102.2	13	0	5	0	2	0	0	0	0.666666667	2	8.666666667
East	PA	Cherry_Valley_A	2019	7	1	95	27	0	0	0	0	0	1	0	0.333333333	1	9
East	PA	5	2019	6	5	37	14	0	0	0	2	0	0	0	0.666666667	2	9.333333333
East	PA	Cherry_Valley_A	2019	7	9	105	28	0	0	0	0	1	0	0	0.333333333	1	9.333333333
East	PA	3	2019	7	7	46	14	0	0	0	0	0	2	0	0.666666667	2	9.333333333
Midwest	IN	8	2020	9	4	45	14	0	0	0	0	0	2	0	0.666666667	2	9.333333333
East	PA	4	2019	6	7	29	10	0	0	0	3	0	0	0	1	3	10
Midwest	MI	10	2020	9	4	60	5	0	0	0	3	3	0	0	2	6	10
Midwest	MI	16	2018	9	2	140.2	10	0	5	0	0	0	3	0	1	3	10
East	PA	3	2019	6	8	24	16	0	0	0	2	0	0	0	0.666666667	2	10.66666667
East	PA	Cherry_Valley_A	2019	7	8	114	32	0	0	0	1	0	0	0	0.333333333	1	10.66666667
East	PA	Forevergreen_	2019	7	9	113	16	0	0	0	1	0	1	0	0.666666667	2	10.66666667
East	PA	Forevergreen_	2019	7	7	127	16	0	4	0	0	0	2	0	0.666666667	2	10.66666667
East	PA	Forevergreen_	2019	7	9	114	16	0	0	0	0	0	2	0	0.666666667	2	10.66666667
East	PA	Forevergreen_	2019	7	1	113	17	0	6	0	2	0	0	0	0.666666667	2	11.33333333
East	PA	3	2019	7	8	49	34	0	0	0	1	0	0	0	0.333333333	1	11.33333333
East	PA	5	2019	7	10	73	35	1	0	0	0	1	0	0	0.333333333	1	11.66666667
East	PA	5	2019	6	2	33	12	0	0	0	2	1	0	0	1	3	12
East	PA	6	2019	6	4	48	18	2	0	0	2	0	0	0	0.666666667	2	12
East	PA	Forevergreen_	2019	6	2	102	18	5	0	2	1	1	0	0	0.666666667	2	12
East	PA	Cherry_Valley_B	2019	6	6	110	18	5	0	2	1	0	1	0	0.666666667	2	12
East	PA	4	2019	7	8	111	36	5	0	0	0	0	1	0	0.333333333	1	12
East	PA	Forevergreen_	2019	7	4	109	18	0	3	0	0	1	1	0	0.666666667	2	12
East	PA	1	2019	8	3	117	36	0	5	0	1	0	0	0	0.333333333	1	12
Midwest	MI	16	2018	9	3	132.5	12	0	4	0	2	0	1	0	1	3	12
East	PA	Forevergreen_	2019	7	7	123	19	5	0	2	0	1	1	0	0.666666667	2	12.66666667
East	PA	Forevergreen_	2019	7	8	116	19	0	3	0	0	0	2	0	0.666666667	2	12.66666667
East	PA	Forevergreen_	2019	7	3	111	13	1	0	0	1	1	1	0	1	3	13
Midwest	MI	24	2020	9	7	134	39	0	11	0	1	0	0	0	0.333333333	1	13
East	PA	Cherry_Valley_B	2019	6	7	109	20	4	0	2	1	1	0	0	0.666666667	2	13.33333333
East	PA	Cherry_Valley_A	2019	7	6	129	40	0	11	0	0	0	1	0	0.333333333	1	13.33333333
East	PA	Cherry_Valley_A	2019	.	5	100	21	0	0	0	0	2	0	0	0.666666667	2	14
East	PA	Cherry_Valley_A	2019	7	1	75	21	0	0	2	1	1	0	0	0.666666667	2	14
East	PA	Forevergreen_	2019	7	3	114	7	0	3	0	4	0	2	0	2	6	14
East	PA	Cherry_Valley_A	2019	7	4	100	21	0	0	0	0	2	0	0	0.666666667	2	14
Midwest	MI	15	2018	9	1	112.1	21	0	13	0	1	0	1	0	0.666666667	2	14
East	PA	6	2019	7	2	54	22	0	0	0	0	0	2	0	0.666666667	2	14.66666667
Midwest	MI	11	2020	9	5	140	2	0	5	3	0	0	0	0	0	0	15
Midwest	MI	16	2018	9	4	121.2	11	0	5	3	0	0	0	0	0	0	15
East	PA	Cherry_Valley_A	2019	6	8	104	23	0	0	2	1	0	1	0	0.666666667	2	15.33333333
East	PA	6	2019	7	5	41	23	0	0	0	0	0	2	0	0.666666667	2	15.33333333
East	PA	Forevergreen_	2019	7	10	109	23	0	2	0	0	0	2	0	0.666666667	2	15.33333333
East	PA	Forevergreen_	2019	7	6	111	23	0	3	0	0	2	0	0	0.666666667	2	15.33333333
East	PA	5	2019	6	4	50	24	1	0	0	1	1	0	0	0.666666667	2	16
East	PA	Forevergreen_	2019	6	10	97	24	3	0	2	1	1	0	0	0.666666667	2	16
Midwest	MI	15	2018	9	6	128	16	0	9	0	0	0	3	0	1	3	16
Midwest	MI	24	2020	9	5	98	6	0	8	2	0	0	0	0	0	0	16
East	PA	3	2019	7	10	35	25	0	0	0	0	2	0	0	0.666666667	2	16.66666667
East	PA	6	2019	7	5	42	25	0	0	0	0	2	0	0	0.666666667	2	16.66666667
Midwest	MI	15	2018	9	4	139.2	13	0	16	0	1	1	2	0	1.333333333	4	17.33333333
Midwest	MI	20	2018	9	3	122.2	26	0	0	0	1	0	1	0	0.666666667	2	17.33333333
East	PA	5	2019	6	2	39	18	0	0	0	3	0	0	0	1	3	18
East	PA	5	2019	6	4	29	14	0	0	0	4	0	0	0	1.333333333	4	18.66666667
East	PA	Cherry_Valley_A	2019	.	4	114	28	0	0	0	0	0	2	0	0.666666667	2	18.66666667
East	PA	3	2019	6	6	62	28	1	0	0	0	2	0	0	0.666666667	2	18.66666667
East	PA	Cherry_Valley_A	2019	7	2	116	28	0	0	0	1	1	0	0	0.666666667	2	18.66666667
East	PA	Forevergreen_	2019	7	2	112	14	0	4	0	3	0	1	0	1.333333333	4	18.66666667
East	PA	Cherry_Valley_A	2019	.	10	122	29	1	9	0	0	1	1	0	0.666666667	2	19.33333333
East	PA	5	2019	6	1	86	30	5	0	0	0	2	0	0	0.666666667	2	20
East	PA	Cherry_Valley_A	2019	7	10	123	30	4	0	2	0	1	1	0	0.666666667	2	20
East	PA	Cherry_Valley_A	2019	7	4	118	30	0	0	0	0	0	2	0	0.666666667	2	20
East	PA	Forevergreen_	2019	7	10	114	20	0	2	0	2	0	1	1	1	3	20
East	PA	Cherry_Valley_B	2019	6	2	115	31	4	0	2	1	0	1	0	0.666666667	2	20.66666667
East	PA	Forevergreen_	2019	7	7	130	16	0	4	0	2	1	1	0	1.333333333	4	21.33333333
East	PA	Cherry_Valley_A	2019	7	4	97	33	0	0	0	0	0	2	0	0.666666667	2	22
Midwest	MI	18	2018	9	3	137.4	23	0	7	0	1	0	2	0	1	3	23
East	PA	3	2019	6	1	26	18	0	0	0	4	0	0	0	1.333333333	4	24
East	PA	Cherry_Valley_A	2019	.	6	129	36	0	7	0	1	1	0	0	0.666666667	2	24
East	PA	Cherry_Valley_B	2019	6	8	101	18	3	0	4	3	1	0	0	1.333333333	4	24
East	PA	Forevergreen_	2019	7	10	106	24	3	0	3	0	3	0	0	1	3	24
Midwest	IN	9	2020	9	4	62	18	0	0	0	4	0	0	0	1.333333333	4	24
Midwest	MI	20	2018	9	6	92.6	24	0	0	0	0	3	0	0	1	3	24
East	PA	Cherry_Valley_A	2019	.	2	104	26	0	0	0	0	3	0	0	1	3	26
East	PA	Cherry_Valley_A	2019	6	7	109	26	4	0	3	1	2	0	0	1	3	26
East	PA	5	2019	6	2	57	26	0	0	0	1	0	2	0	1	3	26
East	PA	Cherry_Valley_B	2019	7	6	115	20	4	0	4	0	3	1	0	1.333333333	4	26.66666667
East	PA	Forevergreen_	2019	7	8	111	20	2	0	0	0	2	2	0	1.333333333	4	26.66666667
East	PA	4	2019	7	11	60	16	0	0	0	2	3	0	0	1.666666667	5	26.66666667
East	PA	3	2019	7	7	47	16	0	0	0	0	4	1	1	1.666666667	5	26.66666667
East	PA	5	2019	7	6	101	27	0	0	0	0	0	3	0	1	3	27
East	PA	5	2019	7	9	49	27	0	0	0	0	1	2	0	1	3	27
Midwest	IN	9	2020	9	3	83	21	0	0	0	3	1	0	0	1.333333333	4	28
Midwest	MI	17	2018	9	10	112.4	14	0	4	4	2	1	0	0	1	3	30
East	PA	5	2019	6	10	56	24	0	0	0	0	3	1	0	1.333333333	4	32
East	PA	Cherry_Valley_A	2019	6	6	118	33	3	0	3	0	2	1	0	1	3	33
East	PA	Forevergreen_	2019	7	5	101	20	0	2	0	2	1	2	0	1.666666667	5	33.33333333
East	PA	Forevergreen_	2019	7	8	112	20	0	3	0	2	3	0	0	1.666666667	5	33.33333333
East	PA	Forevergreen_	2019	7	1	112	17	0	8	0	4	2	0	0	2	6	34
East	PA	1	2019	7	3	112	34	0	5	0	0	3	0	0	1	3	34
East	PA	1	2019	7	8	92	17	0	1	0	0	6	0	0	2	6	34
East	PA	Cherry_Valley_A	2019	.	8	111	26	0	0	0	2	1	1	0	1.333333333	4	34.66666667
East	PA	Cherry_Valley_B	2019	6	5	107	26	3	0	4	1	2	1	0	1.333333333	4	34.66666667
East	PA	Cherry_Valley_A	2019	7	4	106	26	0	0	4	1	0	3	0	1.333333333	4	34.66666667
East	PA	5	2019	7	4	70	26	0	2	0	0	2	2	0	1.333333333	4	34.66666667
East	PA	Cherry_Valley_A	2019	7	7	109	26	0	4	0	0	2	2	0	1.333333333	4	34.66666667
East	PA	Cherry_Valley_A	2019	7	7	111	27	0	5	0	0	3	1	0	1.333333333	4	36
