Region	State	Location	Year	Month	Indiv	Height_cm	NumLeaves	NumInfl.	Pods_num	NumAphidsPods	Top	Middle	Bottom	NumCaterpillars	AvgAphidsPerLeaf	Total_aphids_leaves	Aphids_plant
East	PA	1	2019	6	1	24	11	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	2	50	20	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	3	53	18	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	4	57	14	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	5	42	18	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	6	24	10	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	7	60	15	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	8	76	18	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	9	21	16	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	10	39	14	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	1	21	8	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	2	59	18	2	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	3	43	18	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	4	37	14	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	5	52	16	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	6	11	8	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	7	23	12	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	8	22	12	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	9	76	16	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	10	34	15	0	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	1	26	18	0	0	0	4	0	0	0	1.333333333	4	24
East	PA	3	2019	6	2	33	14	0	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	3	19	14	0	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	4	25	13	0	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	5	46	16	2	0	0	1	0	0	0	0.333333333	1	5.333333333
East	PA	3	2019	6	6	46	16	2	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	7	20	9	0	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	8	10	10	0	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	9	11	9	0	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	10	24	17	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	1	50	12	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	2	28	10	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	3	37	14	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	4	21	10	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	5	39	12	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	6	46	10	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	7	29	10	0	0	0	3	0	0	0	1	3	10
East	PA	4	2019	6	8	46	17	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	9	48	16	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	10	75	17	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	1	28	14	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	2	33	12	0	0	0	2	1	0	0	1	3	12
East	PA	5	2019	6	3	26	16	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	4	29	14	0	0	0	4	0	0	0	1.333333333	4	18.66666667
East	PA	5	2019	6	5	25	14	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	6	30	14	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	7	22	8	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	8	50	14	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	9	16	12	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	10	41	20	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	1	24	12	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	2	26	10	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	3	22	12	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	4	30	14	0	0	0	0	1	0	0	0.333333333	1	4.666666667
East	PA	6	2019	6	5	25	14	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	6	27	12	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	7	19	10	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	8	20	8	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	9	23	12	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	10	40	16	0	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	1	85	18	3	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	2	80	18	3	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	3	82	20	2	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	4	69	18	3	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	5	73	20	3	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	6	70	20	2	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	7	87	22	4	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	8	76	18	3	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	9	79	16	2	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	10	61	18	1	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	1	35	20	0	0	0	0	1	0	0	0.333333333	1	6.666666667
East	PA	3	2019	6	2	45	18	0	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	3	29	14	1	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	4	35	14	0	0	0	1	0	0	0	0.333333333	1	4.666666667
East	PA	3	2019	6	5	62	20	3	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	6	58	20	3	0	0	1	0	0	0	0.333333333	1	6.666666667
East	PA	3	2019	6	7	20	8	0	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	8	24	16	0	0	0	2	0	0	0	0.666666667	2	10.66666667
East	PA	3	2019	6	9	7	6	0	0	0	0	0	0	0	0	0	0
East	PA	3	2019	6	10	42	18	0	0	0	1	0	0	0	0.333333333	1	6
East	PA	4	2019	6	1	58	14	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	2	45	11	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	3	44	16	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	4	23	8	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	5	53	16	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	6	61	12	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	7	32	16	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	8	60	21	2	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	9	55	18	0	0	0	0	0	0	0	0	0	0
East	PA	4	2019	6	10	82	18	1	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	1	47	20	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	2	39	18	0	0	0	3	0	0	0	1	3	18
East	PA	5	2019	6	3	20	6	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	4	36	22	0	0	0	1	0	0	0	0.333333333	1	7.333333333
East	PA	5	2019	6	5	32	14	0	0	0	1	0	0	0	0.333333333	1	4.666666667
East	PA	5	2019	6	6	46	16	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	7	34	10	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	8	39	18	1	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	9	15	12	0	0	0	0	0	0	0	0	0	0
East	PA	5	2019	6	10	47	20	0	0	0	1	0	0	0	0.333333333	1	6.666666667
East	PA	1	2019	6	1	26	12	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	2	61	22	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	3	66	22	2	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	4	68	19	0	0	0	1	0	0	0	0.333333333	1	6.333333333
East	PA	1	2019	6	5	52	18	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	6	30	14	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	7	84	20	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	8	90	20	2	0	0	1	0	0	0	0.333333333	1	6.666666667
East	PA	1	2019	6	11	71	22	0	0	0	0	0	0	0	0	0	0
East	PA	1	2019	6	10	42	16	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	1	28	14	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	2	72	18	2	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	3	60	22	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	4	51	20	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	5	56	18	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	6	13	8	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	7	33	14	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	8	22	11	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	9	94	20	0	0	0	0	0	0	0	0	0	0
East	PA	2	2019	6	10	41	17	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	1	28	10	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	2	39	16	1	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	3	28	12	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	4	48	18	2	0	0	2	0	0	0	0.666666667	2	12
East	PA	6	2019	6	5	35	17	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	6	30	14	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	7	27	12	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	8	29	12	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	9	27	12	0	0	0	0	0	0	0	0	0	0
East	PA	6	2019	6	10	31	14	0	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	1	98	20	3	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	2	94	20	4	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	3	98	20	4	0	0	0	0	0	0	0	0	0
East	PA	Forevergreen_	2019	6	4	85	21	5	0	0	0	0	0	0	0	0	0
