Region	State	Observers	Location	Date	Year	Month	Day	Indiv	Height_cm	NumLeaves	NumInfl.	Pods_num	NumAphidsPods	Top	Middle	Bottom	NumCaterpillars	AvgAphidsPerLeaf	Total_aphids_leaves
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	1	70	16	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	2	46	16	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	3	42	14	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	4	45	14	0	0	0	0	0	2	0	0.666666667	2
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	5	60	17	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	6	68	16	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	7	80	19	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	8	79	10	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	9	98	9	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	10	60	8	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	1	92	17	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	2	72	18	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	3	83	21	0	0	0	3	1	0	0	1.333333333	4
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	4	62	18	0	0	0	4	0	0	0	1.333333333	4
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	5	97	17	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	6	81	13	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	7	104	26	0	3	0	0	6	0	0	2	6
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	8	86	18	0	0	0	0	7	0	0	2.333333333	7
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	9	81	18	0	0	0	0	0	0	0	0	0
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	10	66	22	0	0	0	0	4	26	0	10	30
Midwest	MI	Patrick	10	17-Sep-20	2020	9	17	1	73	21	0	0	0	0	0	0	0	0	0
Midwest	MI	Patrick	10	17-Sep-20	2020	9	17	2	68	21	0	0	0	1	1	4	0	2	6
Midwest	MI	Patrick	10	17-Sep-20	2020	9	17	3	110	41	0	1	0	2	2	0	0	1.333333333	4
Midwest	MI	Patrick	10	17-Sep-20	2020	9	17	4	60	5	0	0	0	3	3	0	0	2	6
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	1	55	16	0	0	0	0	0	0	0	0	0
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	2	58	14	0	0	0	72	8	50	0	43.33333333	130
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	3	88	25	0	0	0	0	0	0	0	0	0
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	4	89	24	0	1	0	0	0	0	0	0	0
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	5	90	18	0	1	0	0	0	0	0	0	0
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	6	29	14	0	0	0	0	0	0	0	0	0
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	7	54	20	0	0	0	15	0	10	0	8.333333333	25
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	8	75	26	0	0	0	4	10	4	0	6	18
Midwest	MI	Patrick	11	17-Sep-20	2020	9	17	9	34	12	0	0	0	74	58	30	0	54	162
