Region	State	Observers	Location	Date	Year	Month	Day	Indiv	Height_cm	NumLeaves	NumInfl.	Pods_num	NumAphidsPods	Top	Middle	Bottom	NumCaterpillars	AvgAphidsPerLeaf	Total_aphids_leaves
Midwest	MI	Katie	16	12-Sep-18	2018	9	12	6	96.1	21	0	0	0	0	0	1	1	0.333333333	1
Midwest	MI	Katie	18	14-Sep-18	2018	9	14	2	101.4	11	0	4	44	0	1	0	0	0.333333333	1
Midwest	MI	Katie	18	14-Sep-18	2018	9	14	4	123.3	13	0	5	0	0	0	1	0	0.333333333	1
Midwest	MI	Kaley	24	6-Sep-20	2020	9	6	7	134	39	0	11	0	1	0	0	0	0.333333333	1
East	PA	Liz	ForEvergreen_Roadside	9/13/2018	2018	9	13	3	93	14	0	0	0	1	0	0	0	0.333333333	1
East	PA	Liz	ForEvergreen_Near_Barn	9/13/2018	2018	9	13	4	121	16	0	1	0	0	0	1	1	0.333333333	1
East	PA	Liz	Back_to_Nature_Driveway	9/23/2018	2018	9	23	4	92	13	0	0	0	1	0	0	0	0.333333333	1
East	PA	Liz	Cranberry_Bog	9/27/2018	2018	9	27	1	152	15	0	0	0	0	1	0	0	0.333333333	1
East	PA	Liz	Outlets	9/27/2018	2018	9	27	5	118	15	0	2	0	1	0	0	0	0.333333333	1
East	PA	Liz	Back_to_Nature_Garden	10/8/2018	2018	10	8	3	128	19	0	1	0	0	0	1	0	0.333333333	1
Midwest	IN	Patrick	8	5-Sep-20	2020	9	5	4	45	14	0	0	0	0	0	2	0	0.666666667	2
Midwest	MI	Katie	15	12-Sep-18	2018	9	12	1	112.1	21	0	13	0	1	0	1	0	0.666666667	2
Midwest	MI	Katie	15	12-Sep-18	2018	9	12	10	102.2	13	0	5	0	2	0	0	0	0.666666667	2
Midwest	MI	Katie	17	8-Sep-18	2018	9	8	8	107.2	19	0	5	88	0	0	2	0	0.666666667	2
Midwest	MI	Katie	20	14-Sep-18	2018	9	14	3	122.2	26	0	0	0	1	0	1	0	0.666666667	2
Midwest	MI	Kaley	24	6-Sep-20	2020	9	6	1	87	6	0	2	1	2	0	0	0	0.666666667	2
East	PA	Liz	Cherry_Valley_Golf	9/6/2018	2018	9	6	2	46	134	1	0	0	2	0	0	2	0.666666667	2
East	PA	Liz	Cherry_Valley_Golf	9/6/2018	2018	9	6	4	46	111	2	2	0	0	0	2	0	0.666666667	2
East	PA	Liz	Outlets	9/27/2018	2018	9	27	3	142	20	0	1	0	0	2	0	0	0.666666667	2
East	PA	Liz	Glen_Park	10/4/2018	2018	10	4	4	42	11	0	0	0	2	0	0	0	0.666666667	2
Midwest	MI	Katie	15	12-Sep-18	2018	9	12	6	128	16	0	9	0	0	0	3	0	1	3
Midwest	MI	Katie	16	12-Sep-18	2018	9	12	2	140.2	10	0	5	0	0	0	3	0	1	3
Midwest	MI	Katie	16	12-Sep-18	2018	9	12	3	132.5	12	0	4	0	2	0	1	0	1	3
Midwest	MI	Katie	17	8-Sep-18	2018	9	8	10	112.4	14	0	4	4	2	1	0	0	1	3
Midwest	MI	Katie	18	14-Sep-18	2018	9	14	3	137.4	23	0	7	0	1	0	2	0	1	3
Midwest	MI	Katie	20	14-Sep-18	2018	9	14	6	92.6	24	0	0	0	0	3	0	0	1	3
East	PA	Liz	ESU_Pavillion_Hill	8/30/2018	2018	8	30	4	101	24	0	1	0	0	1	2	0	1	3
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	3	83	21	0	0	0	3	1	0	0	1.333333333	4
Midwest	IN	Patrick	9	5-Sep-20	2020	9	5	4	62	18	0	0	0	4	0	0	0	1.333333333	4
Midwest	MI	Patrick	10	17-Sep-20	2020	9	17	3	110	41	0	1	0	2	2	0	0	1.333333333	4
Midwest	MI	Katie	15	12-Sep-18	2018	9	12	4	139.2	13	0	16	0	1	1	2	0	1.333333333	4
Midwest	MI	Katie	17	8-Sep-18	2018	9	8	7	162.4	24	0	14	83	4	1	0	0	1.666666667	5
