Plant	Pod	Total_seedmass_g	Num_seeds	Avg_seedmass	Location	Aphids_at_start
1	1	1.785	271	0.006586716	SC	Y
1	2	0.964	246	0.003918699	SC	Y
1	3	1.587	257	0.006175097	SC	Y
1	4	1.22	235	0.005191489	SC	Y
1	5	1.43	228	0.00627193	SC	Y
1	6	1.459	243	0.006004115	SC	Y
1	7	1.356	266	0.005097744	SC	Y
1	8	0.959	258	0.003717054	SC	Y
1	9	1.431	247	0.005793522	SC	Y
2	1	1.528	233	0.00655794	SC	N
2	2	1.446	210	0.006885714	SC	N
3	1	1.232	217	0.005677419	SC	N
4	1	1.152	170	0.006776471	SC	N
4	2	1.397	196	0.007127551	SC	N
5	1	1.088	184	0.005913043	SC	Y
5	2	1.086	186	0.00583871	SC	Y
5	3	1.125	209	0.005382775	SC	Y
5	4	1.239	197	0.00628934	SC	Y
6	1	1.287	229	0.005620087	SC	N
6	2	1.252	210	0.005961905	SC	N
6	3	1.252	200	0.00626	SC	N
6	4	1.441	237	0.006080169	SC	N
6	5	1.282	231	0.005549784	SC	N
6	6	1.45	233	0.006223176	SC	N
6	7	1.206	211	0.00571564	SC	N
6	8	1.362	241	0.005651452	SC	N
6	9	1.378	232	0.005939655	SC	N
6	10	1.419	235	0.006038298	SC	N
6	11	1.361	232	0.005866379	SC	N
6	12	1.278	225	0.00568	SC	N
6	13	1.214	201	0.006039801	SC	N
6	14	1.318	209	0.00630622	SC	N
7	1	0.897	119	0.007537815	SC	N
7	2	0.82	111	0.007387387	SC	N
7	3	0.621	77	0.008064935	SC	N
8	1	1.42	195	0.007282051	SC	N
8	2	1.066	210	0.00507619	SC	N
8	3	1.102	192	0.005739583	SC	N
9	1	0.453	45	0.010066667	SC	N
9	2	0.988	212	0.004660377	SC	N
9	3	1.062	122	0.008704918	SC	N
9	4	1.308	231	0.005662338	SC	N
10	1	0.733	110	0.006663636	SC	Y
10	2	0.549	89	0.006168539	SC	Y
10	3	0.616	94	0.006553191	SC	Y
11	1	0.716	86	0.008325581	SC	Y
11	2	0.952	129	0.007379845	SC	Y
11	3	0.931	116	0.008025862	SC	Y
11	4	0.842	124	0.006790323	SC	Y
